ap_mac,rssi,type
d4:ee:07:04:7f:4a,-52,1
d4:ee:07:04:7f:4a,-52,1
d4:ee:07:04:7f:4a,-52,1
d4:ee:07:04:7f:4a,-57,1
d4:ee:07:04:7f:4a,-57,1
d4:ee:07:04:7f:4a,-57,1
d4:ee:07:04:7f:4a,-56,1
d4:ee:07:04:7f:4a,-56,1
d4:ee:07:04:7f:4a,-56,1
d4:ee:07:04:7f:4a,-55,1
d4:ee:07:04:7f:4a,-55,1
d4:ee:07:04:7f:4a,-55,1
d4:ee:07:04:7f:4a,-42,1
d4:ee:07:04:7f:4a,-42,1
d4:ee:07:04:7f:4a,-42,1
d4:ee:07:04:7f:4a,-49,1
d4:ee:07:04:7f:4a,-49,1
d4:ee:07:04:7f:4a,-49,1
d4:ee:07:04:7f:4a,-52,1
d4:ee:07:04:7f:4a,-52,1
d4:ee:07:04:7f:4a,-52,1
d4:ee:07:04:7f:4a,-62,1
d4:ee:07:04:7f:4a,-62,1
d4:ee:07:04:7f:4a,-62,1
d4:ee:07:04:7f:4a,-57,1
d4:ee:07:04:7f:4a,-57,1
d4:ee:07:04:7f:4a,-57,1
d4:ee:07:04:7f:4a,-59,1
d4:ee:07:04:7f:4a,-59,1
d4:ee:07:04:7f:4a,-59,1
d4:ee:07:04:7f:4a,-60,1
d4:ee:07:04:7f:4a,-60,1
d4:ee:07:04:7f:4a,-60,1
d4:ee:07:04:7f:4a,-60,1
d4:ee:07:04:7f:4a,-60,1
d4:ee:07:04:7f:4a,-61,1
d4:ee:07:04:7f:4a,-60,1
d4:ee:07:04:7f:4a,-60,1
d4:ee:07:04:7f:4a,-60,1
d4:ee:07:04:7f:4a,-55,1
d4:ee:07:04:7f:4a,-52,1
d4:ee:07:04:7f:4a,-52,1
d4:ee:07:04:7f:4a,-51,1
d4:ee:07:04:7f:4a,-52,1
d4:ee:07:04:7f:4a,-50,1
d4:ee:07:04:7f:4a,-50,1
d4:ee:07:04:7f:4a,-49,1
d4:ee:07:04:7f:4a,-57,1
d4:ee:07:04:7f:4a,-57,1
d4:ee:07:04:7f:4a,-57,1
d4:ee:07:04:7f:4a,-54,1
d4:ee:07:04:7f:4a,-54,1
d4:ee:07:04:7f:4a,-54,1
d4:ee:07:04:7f:4a,-51,1
d4:ee:07:04:7f:4a,-51,1
d4:ee:07:04:7f:4a,-51,1
d4:ee:07:04:7f:4a,-49,1
d4:ee:07:04:7f:4a,-49,1
d4:ee:07:04:7f:4a,-49,1
d4:ee:07:04:7f:4a,-40,1
d4:ee:07:04:7f:4a,-40,1
d4:ee:07:04:7f:4a,-40,1
d4:ee:07:04:7f:4a,-63,1
d4:ee:07:04:7f:4a,-63,1
d4:ee:07:04:7f:4a,-63,1
d4:ee:07:04:7f:4a,-62,1
d4:ee:07:04:7f:4a,-62,1
d4:ee:07:04:7f:4a,-62,1
d4:ee:07:04:7f:4a,-56,1
d4:ee:07:04:7f:4a,-56,1
d4:ee:07:04:7f:4a,-56,1
d4:ee:07:04:7f:4a,-60,1
