d4:ee:07:04:7f:4a,d4:ee:07:04:80:88,area_type
-53,-57,1
-56,-55,1
-56,-55,1
-63,-55,1
-48,-62,1
-51,-68,1
-57,-70,1
-74,-79,1
-85,-88,1
-71,-63,1
-71,-62,1
-71,-62,1
-69,-62,1
-52,-63,1
-56,-62,1
-56,-62,1
-65,-61,1
-46,-40,1
-48,-39,1
-48,-39,1
-53,-39,1
-49,-35,1
-49,-40,1
-49,-44,1
-49,-62,1
-128,-77,1
-65,-58,1
-68,-64,1
-68,-64,1
-76,-75,1
-66,-52,1
-66,-52,1
-66,-52,1
-66,-52,1
-62,-65,1
-62,-65,1
-62,-65,1
-62,-63,1
-49,-53,1
-49,-53,1
-49,-53,1
-50,-53,1
-72,-66,1
-72,-66,1
-72,-66,1
-73,-66,1
-64,-66,1
-64,-66,1
-64,-66,1
-64,-66,1
-68,-63,1
-68,-63,1
-68,-63,1
-68,-63,1
-69,-65,1
-69,-68,1
-69,-68,1
-69,-73,1
-50,-50,1
-50,-51,1
-50,-51,1
-50,-54,1
-50,-43,1
-50,-42,1
-50,-42,1
-50,-42,1
-47,-46,1
-47,-54,1
-47,-58,1
-47,-73,1
-128,-85,1
-33,-46,1
-33,-46,1
-33,-46,1
-31,-46,1
-53,-61,1
-52,-62,1
-52,-62,1
-52,-71,1
-52,-62,1
-51,-62,1
-51,-62,1
-51,-62,1
-57,-65,1
-57,-65,1
-57,-65,1
-57,-65,1
-53,-42,1
-58,-41,1
-58,-41,1
-67,-41,1
-38,-41,1
-46,-40,1
-48,-40,1
-64,-40,1
-87,-128,1
-46,-55,1
-45,-62,1
-45,-62,1
-45,-72,1
-50,-45,1
-50,-53,1
-50,-53,1
-50,-69,1
-64,-71,1
-64,-70,1
-64,-70,1
-62,-70,1
-64,-59,1
-64,-59,1
-64,-59,1
-65,-59,1
-62,-77,1
-62,-77,1
-62,-77,1
-62,-77,1
-61,-46,1
-61,-46,1
-61,-46,1
-49,-45,1
-65,-46,1
-65,-46,1
-76,-49,1
-40,-40,1
-49,-39,1
-55,-39,1
-70,-39,1
-84,-128,1
-45,-49,1
-52,-53,1
-52,-59,1
-63,-67,1
-128,-86,1
-54,-53,1
-61,-53,1
-62,-53,1
-70,-53,1
-84,-128,1
-43,-55,1
-55,-62,1
-56,-62,1
-68,-68,1
-86,-128,1
-53,-62,1
-53,-62,1
-53,-62,1
-53,-62,1
-52,-63,1
-52,-69,1
-52,-69,1
-54,-75,1
-41,-47,1
-48,-47,1
-48,-47,1
-60,-47,1
-42,-45,1
-43,-46,1
-43,-46,1
-43,-46,1
-54,-41,1
-54,-41,1
-54,-41,1
-54,-45,1
-64,-52,1
-64,-52,1
-64,-52,1
-64,-52,1
-62,-62,1
-62,-61,1
-62,-61,1
-62,-61,1
-128,-46,1
-54,-49,1
-54,-49,1
-54,-49,1
-50,-43,1
-49,-48,1
-49,-48,1
-46,-62,1
-42,-47,1
-44,-47,1
-44,-47,1
-55,-128,1
-49,-65,1
-49,-68,1
-49,-68,1
-128,-84,1
-57,-56,1
-57,-56,1
-57,-56,1
-45,-56,1
-54,-60,1
-56,-60,1
-72,-70,1
-87,-128,1
-40,-53,1
-40,-61,1
-40,-61,1
-40,-70,1
-48,-42,1
-48,-41,1
-48,-41,1
-48,-39,1
-63,-51,1
-66,-51,1
-66,-51,1
-75,-51,1
-69,-66,1
-69,-66,1
-69,-66,1
-69,-64,1
-56,-53,1
-61,-53,1
-61,-53,1
-79,-57,1
-52,-46,1
-52,-48,1
-52,-48,1
-52,-56,1
-51,-51,1
-54,-51,1
-54,-51,1
-68,-51,1
-87,-89,0
-88,-89,0
-88,-89,0
-88,-89,0
-73,-81,0
-73,-81,0
-73,-81,0
-73,-82,0
-72,-82,0
-73,-80,0
-74,-81,0
-77,-81,0
-82,-82,0
-84,-82,0
-85,-81,0
-85,-81,0
-92,-92,0
-92,-92,0
-91,-91,0
-91,-88,0
-91,-87,0
-91,-87,0
-90,-90,0
-84,-84,0
-84,-84,0
-84,-84,0
-84,-84,0
-89,-83,0
-89,-83,0
-89,-83,0
-87,-83,0
-74,-128,0
-73,-128,0
-73,-128,0
-73,-128,0
-75,-81,0
-74,-81,0
-74,-81,0
-72,-81,0
-82,-84,0
-82,-84,0
-85,-87,0
-86,-88,0
-89,-89,0
-89,-89,0
-81,-75,0
-80,-80,0
-79,-81,0
-79,-82,0
-76,-83,0
-68,-79,0
-68,-77,0
-68,-77,0
-68,-74,0
-90,-88,0
-90,-90,0
-89,-90,0
-89,-92,0
-87,-93,0
-85,-85,0
-85,-86,0
-85,-86,0
-84,-87,0
-84,-87,0
-83,-80,0
-83,-80,0
-83,-80,0
-80,-80,0
-57,-71,0
-57,-71,0
-57,-71,0
-58,-71,0
-88,-87,0
-89,-88,0
-89,-88,0
-89,-90,0
-87,-90,0
-90,-93,0
-90,-93,0
-92,-93,0
-93,-93,0
-93,-92,0
-93,-92,0
-128,-90,0
-128,-90,0
-128,-90,0
-128,-90,0
-83,-84,0
-86,-84,0
-87,-84,0
-89,-84,0
-88,-82,0
-81,-81,0
-80,-80,0
-80,-80,0
-80,-80,0
-85,-84,0
-84,-86,0
-84,-86,0
-84,-87,0
-128,-89,0
-128,-93,0
-128,-93,0
-128,-93,0
-128,-93,0
-94,-91,0
-94,-91,0
-94,-91,0
-93,-91,0
-92,-128,0
-92,-128,0
-93,-89,0
-93,-89,0
-92,-89,0
-90,-90,0
-87,-90,0
-87,-90,0
-90,-86,0
-90,-86,0
-90,-85,0
-90,-85,0
-128,-84,0
-81,-87,0
-80,-87,0
-80,-87,0
-80,-87,0
-82,-79,0
-83,-79,0
-83,-79,0
-83,-79,0
-86,-80,0
-87,-80,0
-87,-80,0
-88,-80,0
-88,-78,0
-84,-74,0
-84,-73,0
-84,-73,0
-82,-73,0
-128,-75,0
-88,-79,0
-88,-79,0
-88,-79,0
-90,-81,0
-83,-89,0
-83,-88,0
-85,-88,0
-86,-89,0
-87,-89,0
-86,-89,0
-69,-67,0
-69,-66,0
-69,-66,0
-69,-65,0
-71,-87,0
-70,-87,0
-70,-87,0
-70,-87,0
-88,-83,0
-88,-83,0
-88,-85,0
-89,-87,0
-89,-89,0
-89,-90,0
-86,-82,0
-85,-82,0
-85,-82,0
-85,-80,0
-82,-77,0
-82,-76,0
-82,-76,0
-81,-76,0
-85,-128,0
-85,-85,0
-85,-85,0
-85,-85,0
-84,-85,0
-86,-86,0
-88,-86,0
-88,-86,0
-89,-86,0
-89,-86,0
-74,-74,0
-74,-74,0
-74,-74,0
-72,-75,0
-82,-75,0
-82,-75,0
-82,-75,0
-82,-73,0
-128,-90,0
-91,-90,0
-91,-89,0
-91,-89,0
-89,-88,0
-82,-78,0
-82,-78,0
-82,-78,0
-81,-78,0
-65,-68,0
-63,-68,0
-63,-68,0
-63,-68,0
-91,-85,0
-91,-85,0
-91,-85,0
-91,-85,0
-90,-87,0
-90,-85,0
-89,-83,0
-88,-82,0
-87,-81,0
-94,-83,0
-92,-82,0
-90,-82,0
-89,-83,0
-88,-83,0
-84,-80,0
-82,-80,0
-82,-80,0
-80,-82,0
-80,-80,0
-79,-80,0
-79,-80,0
-79,-80,0
-89,-90,0
-90,-90,0
-90,-90,0
-91,-89,0
-91,-89,0
-128,-88,0
-128,-87,0
-87,-88,0
-86,-89,0
-86,-89,0
-86,-89,0
-89,-79,0
-89,-78,0
-89,-78,0
-89,-78,0
-80,-77,0
-80,-77,0
-80,-77,0
-79,-76,0
-78,-128,0
-78,-128,0
-91,-85,0
-91,-87,0
-91,-87,0
-91,-88,0
-128,-89,0
-82,-84,0
-83,-84,0
-84,-84,0
-87,-84,0
-87,-84,0
-81,-81,0
-81,-79,0
-81,-79,0
-80,-79,0
-75,-72,0
-75,-72,0
-75,-72,0
-74,-71,0
-75,-72,0
-76,-72,0
-76,-72,0
-76,-72,0
